protocol,modality,model,accuracy,balanced_accuracy,macro_f1
GroupKFold,Adaptive weighted late fusion,MLP,0.8302140895688112,0.8222493147400609,0.8262147714022212
GroupKFold,Audio only,MLP,0.8288637213551484,0.8219564773455307,0.8256998608298766
GroupKFold,Audio + dense text,RandomForest,0.8250064841376868,0.8163770375077233,0.8226580830627954
GroupKFold,Audio + TF-IDF,RandomForest,0.8182690882238116,0.811181098111234,0.8162415597763679
GroupKFold,Audio only,RandomForest,0.81651581604646,0.8102734165539592,0.8140068595026596
GroupKFold,Adaptive weighted late fusion,RandomForest,0.8151594885149696,0.8091036430123528,0.8130082010669015
GroupKFold,Audio + dense text,MLP,0.8160717091680441,0.8101709402873656,0.8118628646972018
GroupKFold,Cross-modal interaction fusion,RandomForest,0.814643902025263,0.8054106680639063,0.810718832985315
GroupKFold,Audio + strong text (early fusion),RandomForest,0.8131425364347272,0.8066037720831847,0.8105286106896274
GroupKFold,Audio + strong text (early fusion),MLP,0.8098004720705655,0.8077704870167685,0.8079834062855126
GroupKFold,Cross-modal interaction fusion,MLP,0.8068524807086168,0.7999982450735983,0.8022518014915283
GroupKFold,Audio + TF-IDF,MLP,0.7942652241408712,0.7902051872074446,0.7910104290377566
GroupKFold,Text TF-IDF,RandomForest,0.476613147067359,0.458002914658619,0.4642632946622206
GroupKFold,Text TF-IDF,MLP,0.46293390039381344,0.4526125953345039,0.45076004220405463
GroupKFold,Text dense only,RandomForest,0.42404950809051434,0.39055691987393404,0.3901208390763935
GroupKFold,Text dense only,MLP,0.41284027144432994,0.39304044821026407,0.38968180997194396
GroupKFold,Audio only (CNN),SimpleAudioCNN,0.42293161519335065,0.37445013409714933,0.3560983194063644
LOSO,Audio only (LOSO),MLP,0.8279737290135352,0.8267570062801217,0.8221589571029106
LOSO,Adaptive weighted late fusion (LOSO),MLP,0.8222158182732514,0.8233787338141669,0.8165459518003895
LOSO,Cross-modal interaction fusion (LOSO),RandomForest,0.8239371649457583,0.8207168717171275,0.8155528630411023
LOSO,Audio only (LOSO),RandomForest,0.8196892136563646,0.8190915579267279,0.8136923267572328
LOSO,Audio + strong text (LOSO early fusion),RandomForest,0.8160928307504435,0.81600815574993,0.8094961286779341
LOSO,Adaptive weighted late fusion (LOSO),RandomForest,0.8159778590219391,0.8152066607598977,0.8094252036893475
LOSO,Audio + strong text (LOSO early fusion),MLP,0.8074089456960895,0.8128154133339984,0.8037186344864768
LOSO,Cross-modal interaction fusion (LOSO),MLP,0.8036241436031937,0.8080258309303495,0.7960792228745549
LOSO,Audio only (CNN LOSO),SimpleAudioCNN,0.419139375703147,0.3739937512833637,0.35223683976550885
